DateTime,Predicted_tmax
3/28/2026 0:00,37.00248906
3/28/2026 1:00,36.69266779
3/28/2026 2:00,36.03224298
3/28/2026 3:00,35.42624376
3/28/2026 4:00,34.92000297
3/28/2026 5:00,34.541529
3/28/2026 6:00,34.22281412
3/28/2026 7:00,33.97455685
3/28/2026 8:00,33.85311887
3/28/2026 9:00,33.96592752
3/28/2026 10:00,34.31348956
3/28/2026 11:00,34.86525915
3/28/2026 12:00,35.56505063
3/28/2026 13:00,36.32267736
3/28/2026 14:00,37.07094941
3/28/2026 15:00,37.71687351
3/28/2026 16:00,38.21813882
3/28/2026 17:00,38.50248345
3/28/2026 18:00,38.59189651
3/28/2026 19:00,38.31954644
3/28/2026 20:00,37.83500994
3/28/2026 21:00,37.28698139
3/28/2026 22:00,36.76737997
3/28/2026 23:00,36.32970237
3/29/2026 0:00,36.01762294
3/29/2026 1:00,35.63179197
3/29/2026 2:00,35.31755468
3/29/2026 3:00,35.04242085
3/29/2026 4:00,34.81858477
3/29/2026 5:00,34.63383268
3/29/2026 6:00,34.44208394
3/29/2026 7:00,34.22752299
3/29/2026 8:00,34.04385554
3/29/2026 9:00,34.06813582
3/29/2026 10:00,34.38338009
3/29/2026 11:00,35.069082
3/29/2026 12:00,35.94470128
3/29/2026 13:00,36.88944618
3/29/2026 14:00,37.77844216
3/29/2026 15:00,38.50377419
3/29/2026 16:00,39.09801584
3/29/2026 17:00,39.39522173
3/29/2026 18:00,39.4641294
3/29/2026 19:00,39.11507221
3/29/2026 20:00,38.61879804
3/29/2026 21:00,38.07668911
3/29/2026 22:00,37.54388492
3/29/2026 23:00,37.0508397
3/30/2026 0:00,36.58010311
3/30/2026 1:00,36.16198506
3/30/2026 2:00,35.90698971
3/30/2026 3:00,35.57632576
3/30/2026 4:00,35.24799868
3/30/2026 5:00,34.94637762
3/30/2026 6:00,34.62982695
3/30/2026 7:00,34.32573761
3/30/2026 8:00,34.15152811
3/30/2026 9:00,34.20195346
3/30/2026 10:00,34.47186424
3/30/2026 11:00,34.9997668
3/30/2026 12:00,35.84470332
3/30/2026 13:00,37.05158114
3/30/2026 14:00,38.00136287
3/30/2026 15:00,38.71653192
3/30/2026 16:00,38.43236715
3/30/2026 17:00,37.8165363
3/30/2026 18:00,36.95887564
3/30/2026 19:00,36.12097301
3/30/2026 20:00,35.38887709
3/30/2026 21:00,34.80788899
3/30/2026 22:00,34.3514377
3/30/2026 23:00,33.99483964
3/31/2026 0:00,33.74562743
3/31/2026 1:00,33.56208969
3/31/2026 2:00,33.4390055
3/31/2026 3:00,33.33652212
3/31/2026 4:00,33.20657966
3/31/2026 5:00,33.0406002
3/31/2026 6:00,32.90235681
3/31/2026 7:00,32.81250479
3/31/2026 8:00,32.79973008
3/31/2026 9:00,32.89561714
3/31/2026 10:00,33.21577035
3/31/2026 11:00,33.89756979
3/31/2026 12:00,34.78683429
3/31/2026 13:00,35.7661714
3/31/2026 14:00,36.72030356
3/31/2026 15:00,37.51315137
3/31/2026 16:00,38.01443573
3/31/2026 17:00,38.23313043
3/31/2026 18:00,38.16578308
3/31/2026 19:00,37.81235769
3/31/2026 20:00,37.25930753
3/31/2026 21:00,36.64556599
3/31/2026 22:00,36.07514502
3/31/2026 23:00,35.6018443
4/1/2026 0:00,35.18494505
4/1/2026 1:00,34.83946977
4/1/2026 2:00,34.56870836
4/1/2026 3:00,34.37401251
4/1/2026 4:00,34.1901743
4/1/2026 5:00,34.067048
4/1/2026 6:00,33.96274426
4/1/2026 7:00,33.89040259
4/1/2026 8:00,33.88520811
4/1/2026 9:00,33.92860169
4/1/2026 10:00,33.98125663
4/1/2026 11:00,34.09595673
4/1/2026 12:00,34.30500158
4/1/2026 13:00,34.61714872
4/1/2026 14:00,35.15200582
4/1/2026 15:00,35.73277217
4/1/2026 16:00,36.18436182
4/1/2026 17:00,36.41906083
4/1/2026 18:00,36.46165478
4/1/2026 19:00,36.31315848
4/1/2026 20:00,36.01187132
4/1/2026 21:00,35.6473312
4/1/2026 22:00,35.21141788
4/1/2026 23:00,34.73242903
4/2/2026 0:00,34.28882651
4/2/2026 1:00,33.98259963
4/2/2026 2:00,33.79311561
4/2/2026 3:00,33.66044355
4/2/2026 4:00,33.50877859
4/2/2026 5:00,33.34860725
4/2/2026 6:00,33.20760463
4/2/2026 7:00,33.12202655
4/2/2026 8:00,33.10692703
4/2/2026 9:00,33.20075102
4/2/2026 10:00,33.56950615
4/2/2026 11:00,34.28184023
4/2/2026 12:00,35.19722357
4/2/2026 13:00,36.14832947
4/2/2026 14:00,37.03534703
4/2/2026 15:00,37.81404623
4/2/2026 16:00,38.42659056
4/2/2026 17:00,38.83172843
4/2/2026 18:00,38.92167387
4/2/2026 19:00,38.5533741
4/2/2026 20:00,37.81912116
4/2/2026 21:00,36.96093786
4/2/2026 22:00,36.23795794
4/2/2026 23:00,35.69192473
4/3/2026 0:00,35.2809286
4/3/2026 1:00,34.98981203
4/3/2026 2:00,34.7825647
4/3/2026 3:00,34.59203772
4/3/2026 4:00,34.32664261
4/3/2026 5:00,33.94810115
4/3/2026 6:00,33.56678015
4/3/2026 7:00,33.19713696
4/3/2026 8:00,32.89317331
4/3/2026 9:00,32.68656923
4/3/2026 10:00,32.68709483
4/3/2026 11:00,32.91740925
4/3/2026 12:00,33.30235712
4/3/2026 13:00,33.70898463
4/3/2026 14:00,34.15198939
4/3/2026 15:00,34.6455729
4/3/2026 16:00,35.1084106
4/3/2026 17:00,35.49091696
4/3/2026 18:00,35.73030241
4/3/2026 19:00,35.66396141
4/3/2026 20:00,35.32903041
4/3/2026 21:00,34.86992062
4/3/2026 22:00,34.41207385
4/3/2026 23:00,34.00407688
